target,mode,model,output_type,feature,n_total_splits,mean_abs_shap_avg,rank_avg,n_splits_present,rank_final,total_importance,cumulative_importance,cumulative_fraction,feature_type,category
Anaerobic,3,XGBoost,shap,X678950...T.C.....GT,5,0.00502726614,15,5,4,0.07268821803100003,0.032684594420000004,0.4496546387484791,SNP,Environmental stress
Anaerobic,3,XGBoost,shap,Clusters_5,5,0.00481429288,13.6,5,5,0.07268821803100003,0.037498887300000006,0.515886732620237,STR,Environmental stress
Anaerobic,3,XGBoost,shap,Clusters_4,5,0.00399715022,22,5,6,0.07268821803100003,0.04149603752000001,0.5708770780747824,STR,Environmental stress
Anaerobic,3,XGBoost,shap,group_11868,5,0.00399680184,19.6,5,7,0.07268821803100003,0.04549283936000001,0.6258626307305848,PAN,Environmental stress
Anaerobic,3,XGBoost,shap,Clusters_6,5,0.00346872158,24.2,5,8,0.07268821803100003,0.04896156094000001,0.6735831784886913,STR,Environmental stress
Anaerobic,3,XGBoost,shap,group_1813,5,0.003047905,37.8,5,9,0.07268821803100003,0.05200946594000001,0.7155143893858981,PAN,Environmental stress
Anaerobic,3,XGBoost,shap,Clusters_7,5,0.002579548486,44.6,5,10,0.07268821803100003,0.05458901442600001,0.7510022381167594,STR,Environmental stress
Asparagine,3,XGBoost,shap,Clusters_4,5,0.0095482549,3.6,5,1,0.11857127033640001,0.0095482549,0.08052755842887176,STR,Carbon source utilisation
Asparagine,3,XGBoost,shap,Clusters_2,5,0.0091929835,5.8,5,2,0.11857127033640001,0.0187412384,0.15805884803990883,STR,Carbon source utilisation
Asparagine,3,XGBoost,shap,Clusters_12,5,0.009095866939999999,10.4,5,3,0.11857127033640001,0.027837105339999998,0.23477108123260385,STR,Carbon source utilisation
Asparagine,3,XGBoost,shap,group_6243,5,0.00594891944,12.4,5,4,0.11857127033640001,0.03378602478,0.2849427579222627,PAN,Carbon source utilisation
Asparagine,3,XGBoost,shap,dcm~~~ecoRIIM,5,0.00563300668,29.8,5,5,0.11857127033640001,0.039419031460000004,0.3324501065744154,PAN,Carbon source utilisation
Asparagine,3,XGBoost,shap,group_5255,5,0.00493788466,20.8,5,6,0.11857127033640001,0.044356916120000006,0.37409497253554297,PAN,Carbon source utilisation
Asparagine,3,XGBoost,shap,group_8516,5,0.004903916706,89.8,5,7,0.11857127033640001,0.04926083282600001,0.41545336139388145,PAN,Carbon source utilisation
Asparagine,3,XGBoost,shap,Clusters_3,5,0.004615012700000001,18.8,5,8,0.11857127033640001,0.05387584552600001,0.4543752071909847,STR,Carbon source utilisation
Asparagine,3,XGBoost,shap,group_21155,5,0.00439078712,22.6,5,9,0.11857127033640001,0.058266632646000016,0.4914059913560092,PAN,Carbon source utilisation
Asparagine,3,XGBoost,shap,clpB~~~ompA,5,0.0042296248074,45.4,5,10,0.11857127033640001,0.06249625745340002,0.527077573480415,PAN,Carbon source utilisation
Bleach05,3,XGBoost,shap,Clusters_3,5,0.00399544484,13.8,5,1,0.037103291271,0.00399544484,0.10768437793880693,STR,Antiseptic
Bleach05,3,XGBoost,shap,X3439401...A.G.....GT,5,0.00399435574,9.8,5,2,0.037103291271,0.007989800580000001,0.2153394026864901,SNP,Antiseptic
Bleach05,3,XGBoost,shap,group_6437,5,0.0038171324,7.8,5,3,0.037103291271,0.01180693298,0.318217941738994,PAN,Antiseptic
Bleach05,3,XGBoost,shap,Clusters_2,5,0.00366491012,12,5,4,0.037103291271,0.0154718431,0.41699381833796567,STR,Antiseptic
