row	column	strain	r_c
13	4	J666	13 4
14	3	J666	14 3
14	4	J666	14 4
13	5	R234	13 5
13	6	R234	13 6
14	5	R234	14 5
14	6	R234	14 6
13	7	J654	13 7
13	8	J654	13 8
14	7	J654	14 7
14	8	J654	14 8
13	9	R240	13 9
13	10	R240	13 10
14	9	R240	14 9
14	10	R240	14 10
13	11	J628	13 11
13	12	J628	13 12
14	11	J628	14 11
14	12	J628	14 12
13	13	R241	13 13
13	14	R241	13 14
14	13	R241	14 13
14	14	R241	14 14
13	15	J573	13 15
13	16	J573	13 16
14	15	J573	14 15
14	16	J573	14 16
13	17	R272	13 17
13	18	R272	13 18
14	17	R272	14 17
14	18	R272	14 18
13	19	J537	13 19
13	20	J537	13 20
14	19	J537	14 19
14	20	J537	14 20
13	21	R273	13 21
13	22	R273	13 22
14	21	R273	14 21
14	22	R273	14 22
13	23	J377	13 23
13	24	J377	13 24
14	23	J377	14 23
14	24	J377	14 24
13	25	R275	13 25
13	26	R275	13 26
14	25	R275	14 25
14	26	R275	14 26
13	27	J275	13 27
13	28	J275	13 28
14	27	J275	14 27
14	28	J275	14 28
13	29	R276	13 29
13	30	R276	13 30
14	29	R276	14 29
14	30	R276	14 30
13	31	J238	13 31
13	32	J238	13 32
14	31	J238	14 31
14	32	J238	14 32
13	33	R290	13 33
13	34	R290	13 34
14	33	R290	14 33
14	34	R290	14 34
13	35	J100	13 35
13	36	J100	13 36
14	35	J100	14 35
14	36	J100	14 36
13	37	R291	13 37
13	38	R291	13 38
14	37	R291	14 37
14	38	R291	14 38
13	39	J87	13 39
13	40	J87	13 40
14	39	J87	14 39
14	40	J87	14 40
13	41	R292	13 41
13	42	R292	13 42
14	41	R292	14 41
14	42	R292	14 42
13	43	HA-108	13 43
13	44	HA-108	13 44
14	43	HA-108	14 43
14	44	HA-108	14 44
13	45	R293	13 45
13	46	R293	13 46
14	45	R293	14 45
14	46	R293	14 46
13	47	HKPR016	13 47
13	48	HKPR016	13 48
14	47	HKPR016	14 47
14	48	HKPR016	14 48
15	1	RKPB146	15 1
15	2	RKPB146	15 2
16	1	RKPB146	16 1
16	2	RKPB146	16 2
15	3	RKPB917	15 3
15	4	RKPB917	15 4
16	3	RKPB917	16 3
16	4	RKPB917	16 4
15	5	RKPB147	15 5
15	6	RKPB147	15 6
16	5	RKPB147	16 5
16	6	RKPB147	16 6
15	7	RKPB966	15 7
15	8	RKPB966	15 8
16	7	RKPB966	16 7
16	8	RKPB966	16 8
15	9	RKPB125	15 9
15	10	RKPB125	15 10
16	9	RKPB125	16 9
16	10	RKPB125	16 10
15	11	RKPB991	15 11
15	12	RKPB991	15 12
16	11	RKPB991	16 11
16	12	RKPB991	16 12
15	13	RKPB126	15 13
15	14	RKPB126	15 14
16	13	RKPB126	16 13
16	14	RKPB126	16 14
15	15	MKPR030	15 15
15	16	MKPR030	15 16
16	15	MKPR030	16 15
16	16	MKPR030	16 16
15	17	RKPB127	15 17
15	18	RKPB127	15 18
16	17	RKPB127	16 17
16	18	RKPB127	16 18
15	19	RKPB960	15 19
15	20	RKPB960	15 20
16	19	RKPB960	16 19
16	20	RKPB960	16 20
15	21	RKPB129	15 21
15	22	RKPB129	15 22
16	21	RKPB129	16 21
16	22	RKPB129	16 22
15	23	RKPB962	15 23
15	24	RKPB962	15 24
16	23	RKPB962	16 23
16	24	RKPB962	16 24
15	25	RKPB130	15 25
15	26	RKPB130	15 26
16	25	RKPB130	16 25
16	26	RKPB130	16 26
15	27	RKPB961	15 27
15	28	RKPB961	15 28
16	27	RKPB961	16 27
16	28	RKPB961	16 28
15	29	RKPB131	15 29
15	30	RKPB131	15 30
16	29	RKPB131	16 29
16	30	RKPB131	16 30
15	31	RKPB914	15 31
15	32	RKPB914	15 32
16	31	RKPB914	16 31
16	32	RKPB914	16 32
15	33	RKPB132	15 33
15	34	RKPB132	15 34
16	33	RKPB132	16 33
16	34	RKPB132	16 34
15	35	MKPR042	15 35
15	36	MKPR042	15 36
16	35	MKPR042	16 35
16	36	MKPR042	16 36
15	37	RKPB134	15 37
15	38	RKPB134	15 38
16	37	RKPB134	16 37
16	38	RKPB134	16 38
15	39	MKPR012	15 39
15	40	MKPR012	15 40
16	39	MKPR012	16 39
16	40	MKPR012	16 40
15	41	RKPB135	15 41
15	42	RKPB135	15 42
16	41	RKPB135	16 41
16	42	RKPB135	16 42
15	43	MKPR013	15 43
15	44	MKPR013	15 44
16	43	MKPR013	16 43
16	44	MKPR013	16 44
15	45	RKPB116	15 45
15	46	RKPB116	15 46
16	45	RKPB116	16 45
16	46	RKPB116	16 46
15	47	MKPU083	15 47
15	48	MKPU083	15 48
16	47	MKPU083	16 47
16	48	MKPU083	16 48
17	1	R407	17 1
17	2	R407	17 2
18	1	R407	18 1
18	2	R407	18 2
17	3	HKPR017	17 3
17	4	HKPR017	17 4
18	3	HKPR017	18 3
18	4	HKPR017	18 4
17	5	R409	17 5
17	6	R409	17 6
18	5	R409	18 5
18	6	R409	18 6
17	7	R596	17 7
17	8	R596	17 8
18	7	R596	18 7
18	8	R596	18 8
17	9	R424	17 9
17	10	R424	17 10
18	9	R424	18 9
18	10	R424	18 10
17	11	R233	17 11
17	12	R233	17 12
18	11	R233	18 11
18	12	R233	18 12
17	13	R493	17 13
17	14	R493	17 14
18	13	R493	18 13
18	14	R493	18 14
17	15	R68	17 15
17	16	R68	17 16
18	15	R68	18 15
18	16	R68	18 16
17	17	R55	17 17
17	18	R55	17 18
18	17	R55	18 17
18	18	R55	18 18
17	19	MKPU130	17 19
17	20	MKPU130	17 20
18	19	MKPU130	18 19
18	20	MKPU130	18 20
17	21	R561	17 21
17	22	R561	17 22
18	21	R561	18 21
18	22	R561	18 22
17	23	N1122	17 23
17	24	N1122	17 24
18	23	N1122	18 23
18	24	N1122	18 24
17	25	N824	17 25
17	26	N824	17 26
18	25	N824	18 25
18	26	N824	18 26
17	27	N1104	17 27
17	28	N1104	17 28
18	27	N1104	18 27
18	28	N1104	18 28
17	29	R565	17 29
17	30	R565	17 30
18	29	R565	18 29
18	30	R565	18 30
17	31	N1015	17 31
17	32	N1015	17 32
18	31	N1015	18 31
18	32	N1015	18 32
17	33	R567	17 33
17	34	R567	17 34
18	33	R567	18 33
18	34	R567	18 34
17	35	N906	17 35
17	36	N906	17 36
18	35	N906	18 35
18	36	N906	18 36
17	37	R571	17 37
17	38	R571	17 38
18	37	R571	18 37
18	38	R571	18 38
17	39	MKPU131	17 39
17	40	MKPU131	17 40
18	39	MKPU131	18 39
18	40	MKPU131	18 40
17	41	R572	17 41
17	42	R572	17 42
18	41	R572	18 41
18	42	R572	18 42
17	43	N675	17 43
17	44	N675	17 44
18	43	N675	18 43
18	44	N675	18 44
17	45	R58	17 45
17	46	R58	17 46
18	45	R58	18 45
18	46	R58	18 46
17	47	N665	17 47
17	48	N665	17 48
18	47	N665	18 47
18	48	N665	18 48
19	1	RKPB117	19 1
19	2	RKPB117	19 2
20	1	RKPB117	20 1
20	2	RKPB117	20 2
19	3	MKPU135	19 3
19	4	MKPU135	19 4
20	3	MKPU135	20 3
20	4	MKPU135	20 4
19	5	RKPB118	19 5
19	6	RKPB118	19 6
20	5	RKPB118	20 5
20	6	RKPB118	20 6
19	7	JKPB619	19 7
19	8	JKPB619	19 8
20	7	JKPB619	20 7
20	8	JKPB619	20 8
19	9	RKPB119	19 9
19	10	RKPB119	19 10
20	9	RKPB119	20 9
20	10	RKPB119	20 10
19	11	MKPU047	19 11
19	12	MKPU047	19 12
20	11	MKPU047	20 11
20	12	MKPU047	20 12
19	13	RKPB120	19 13
19	14	RKPB120	19 14
20	13	RKPB120	20 13
20	14	RKPB120	20 14
19	15	RKPU087	19 15
19	16	RKPU087	19 16
20	15	RKPU087	20 15
20	16	RKPU087	20 16
19	17	RKPB121	19 17
19	18	RKPB121	19 18
20	17	RKPB121	20 17
20	18	RKPB121	20 18
19	19	HKPU002	19 19
19	20	HKPU002	19 20
20	19	HKPU002	20 19
20	20	HKPU002	20 20
19	21	RKPB122	19 21
19	22	RKPB122	19 22
20	21	RKPB122	20 21
20	22	RKPB122	20 22
19	23	MKPU122	19 23
19	24	MKPU122	19 24
20	23	MKPU122	20 23
20	24	MKPU122	20 24
19	25	RKPB124	19 25
19	26	RKPB124	19 26
20	25	RKPB124	20 25
20	26	RKPB124	20 26
19	27	MKPU126	19 27
19	28	MKPU126	19 28
20	27	MKPU126	20 27
20	28	MKPU126	20 28
19	29	RKPB123	19 29
19	30	RKPB123	19 30
20	29	RKPB123	20 29
20	30	RKPB123	20 30
19	31	MKPU127	19 31
19	32	MKPU127	19 32
20	31	MKPU127	20 31
20	32	MKPU127	20 32
19	33	RKPB106	19 33
19	34	RKPB106	19 34
20	33	RKPB106	20 33
20	34	RKPB106	20 34
19	35	DKPU074	19 35
19	36	DKPU074	19 36
20	35	DKPU074	20 35
20	36	DKPU074	20 36
19	37	RKPB107	19 37
19	38	RKPB107	19 38
20	37	RKPB107	20 37
20	38	RKPB107	20 38
19	39	DKPB001	19 39
19	40	DKPB001	19 40
20	39	DKPB001	20 39
20	40	DKPB001	20 40
19	41	RKPB108	19 41
19	42	RKPB108	19 42
20	41	RKPB108	20 41
20	42	RKPB108	20 42
19	43	RKPU185	19 43
19	44	RKPU185	19 44
20	43	RKPU185	20 43
20	44	RKPU185	20 44
19	45	RKPB109	19 45
19	46	RKPB109	19 46
20	45	RKPB109	20 45
20	46	RKPB109	20 46
19	47	MKP103	19 47
19	48	MKP103	19 48
20	47	MKP103	20 47
20	48	MKP103	20 48
21	1	R588	21 1
21	2	R588	21 2
22	1	R588	22 1
22	2	R588	22 2
21	3	N658	21 3
21	4	N658	21 4
22	3	N658	22 3
22	4	N658	22 4
21	5	R595	21 5
21	6	R595	21 6
22	5	R595	22 5
22	6	R595	22 6
21	7	HKPR019	21 7
21	8	HKPR019	21 8
22	7	HKPR019	22 7
22	8	HKPR019	22 8
21	9	R700	21 9
21	10	R700	21 10
22	9	R700	22 9
22	10	R700	22 10
21	11	HKPR021	21 11
21	12	HKPR021	21 12
22	11	HKPR021	22 11
22	12	HKPR021	22 12
21	13	R804	21 13
21	14	R804	21 14
22	13	R804	22 13
22	14	R804	22 14
21	15	Q38	21 15
21	16	Q38	21 16
22	15	Q38	22 15
22	16	Q38	22 16
21	17	Q136	21 17
21	18	Q136	21 18
22	17	Q136	22 17
22	18	Q136	22 18
21	19	HKPR022	21 19
21	20	HKPR022	21 20
22	19	HKPR022	22 19
22	20	HKPR022	22 20
21	21	S120	21 21
21	22	S120	21 22
22	21	S120	22 21
22	22	S120	22 22
21	23	HKPR023	21 23
21	24	HKPR023	21 24
22	23	HKPR023	22 23
22	24	HKPR023	22 24
21	25	S130	21 25
21	26	S130	21 26
22	25	S130	22 25
22	26	S130	22 26
21	27	HKPR024	21 27
21	28	HKPR024	21 28
22	27	HKPR024	22 27
22	28	HKPR024	22 28
21	29	S131	21 29
21	30	S131	21 30
22	29	S131	22 29
22	30	S131	22 30
21	31	Q213	21 31
21	32	Q213	21 32
22	31	Q213	22 31
22	32	Q213	22 32
21	33	S140	21 33
21	34	S140	21 34
22	33	S140	22 33
22	34	S140	22 34
21	35	MKPR281	21 35
21	36	MKPR281	21 36
22	35	MKPR281	22 35
22	36	MKPR281	22 36
21	37	S151	21 37
21	38	S151	21 38
22	37	S151	22 37
