row	column	strain	r_c
16	24	RKPU166	16 24
15	25	JKPB613	15 25
15	26	JKPB613	15 26
16	25	JKPB613	16 25
16	26	JKPB613	16 26
15	27	RKPU176	15 27
15	28	RKPU176	15 28
16	27	RKPU176	16 27
16	28	RKPU176	16 28
15	29	JKPB614	15 29
15	30	JKPB614	15 30
16	29	JKPB614	16 29
16	30	JKPB614	16 30
15	31	RKPU179	15 31
15	32	RKPU179	15 32
16	31	RKPU179	16 31
16	32	RKPU179	16 32
15	33	JKPB528	15 33
15	34	JKPB528	15 34
16	33	JKPB528	16 33
16	34	JKPB528	16 34
15	35	RKPU181	15 35
15	36	RKPU181	15 36
16	35	RKPU181	16 35
16	36	RKPU181	16 36
15	37	JKPB531	15 37
15	38	JKPB531	15 38
16	37	JKPB531	16 37
16	38	JKPB531	16 38
15	39	MKPR246	15 39
15	40	MKPR246	15 40
16	39	MKPR246	16 39
16	40	MKPR246	16 40
15	41	JKPB550	15 41
15	42	JKPB550	15 42
16	41	JKPB550	16 41
16	42	JKPB550	16 42
15	43	RKPU186	15 43
15	44	RKPU186	15 44
16	43	RKPU186	16 43
16	44	RKPU186	16 44
15	45	JKPB551	15 45
15	46	JKPB551	15 46
16	45	JKPB551	16 45
16	46	JKPB551	16 46
15	47	RKPU187	15 47
15	48	RKPU187	15 48
16	47	RKPU187	16 47
16	48	RKPU187	16 48
17	1	KP014	17 1
17	2	KP014	17 2
18	1	KP014	18 1
18	2	KP014	18 2
17	3	326	17 3
17	4	326	17 4
18	3	326	18 3
18	4	326	18 4
17	5	KP016	17 5
17	6	KP016	17 6
18	5	KP016	18 5
18	6	KP016	18 6
17	7	MKP103	17 7
17	8	MKP103	17 8
18	7	MKP103	18 7
18	8	MKP103	18 8
17	9	MKPU050	17 9
17	10	MKPU050	17 10
18	9	MKPU050	18 9
18	10	MKPU050	18 10
17	11	328	17 11
17	12	328	17 12
18	11	328	18 11
18	12	328	18 12
17	13	KP019	17 13
17	14	KP019	17 14
18	13	KP019	18 13
18	14	KP019	18 14
17	15	329	17 15
17	16	329	17 16
18	15	329	18 15
18	16	329	18 16
17	17	KP020	17 17
17	18	KP020	17 18
18	17	KP020	18 17
18	18	KP020	18 18
17	19	330	17 19
17	20	330	17 20
18	19	330	18 19
18	20	330	18 20
17	21	KP022	17 21
17	22	KP022	17 22
18	21	KP022	18 21
18	22	KP022	18 22
17	23	331	17 23
17	24	331	17 24
18	23	331	18 23
18	24	331	18 24
17	25	KP024	17 25
17	26	KP024	17 26
18	25	KP024	18 25
18	26	KP024	18 26
17	27	332	17 27
17	28	332	17 28
18	27	332	18 27
18	28	332	18 28
17	29	KP029	17 29
17	30	KP029	17 30
18	29	KP029	18 29
18	30	KP029	18 30
17	31	335	17 31
17	32	335	17 32
18	31	335	18 31
18	32	335	18 32
17	33	KP032	17 33
17	34	KP032	17 34
18	33	KP032	18 33
18	34	KP032	18 34
17	35	336	17 35
17	36	336	17 36
18	35	336	18 35
18	36	336	18 36
17	37	KP033	17 37
17	38	KP033	17 38
18	37	KP033	18 37
18	38	KP033	18 38
17	39	339	17 39
17	40	339	17 40
18	39	339	18 39
18	40	339	18 40
17	41	KP034	17 41
17	42	KP034	17 42
18	41	KP034	18 41
18	42	KP034	18 42
17	43	340	17 43
17	44	340	17 44
18	43	340	18 43
18	44	340	18 44
17	45	KP035	17 45
17	46	KP035	17 46
18	45	KP035	18 45
18	46	KP035	18 46
17	47	341	17 47
17	48	341	17 48
18	47	341	18 47
18	48	341	18 48
19	1	JKPB552	19 1
19	2	JKPB552	19 2
20	1	JKPB552	20 1
20	2	JKPB552	20 2
19	3	RKPU206	19 3
19	4	RKPU206	19 4
20	3	RKPU206	20 3
20	4	RKPU206	20 4
19	5	JKPB554	19 5
19	6	JKPB554	19 6
20	5	JKPB554	20 5
20	6	JKPB554	20 6
19	7	RKPU253	19 7
19	8	RKPU253	19 8
20	7	RKPU253	20 7
20	8	RKPU253	20 8
19	9	JKPB553	19 9
19	10	JKPB553	19 10
20	9	JKPB553	20 9
20	10	JKPB553	20 10
19	11	DKPB002	19 11
19	12	DKPB002	19 12
20	11	DKPB002	20 11
20	12	DKPB002	20 12
19	13	RKPR135	19 13
19	14	RKPR135	19 14
20	13	RKPR135	20 13
20	14	RKPR135	20 14
19	15	DKPU005	19 15
19	16	DKPU005	19 16
20	15	DKPU005	20 15
20	16	DKPU005	20 16
19	17	MKPU034	19 17
19	18	MKPU034	19 18
20	17	MKPU034	20 17
20	18	MKPU034	20 18
19	19	DKPU006	19 19
19	20	DKPU006	19 20
20	19	DKPU006	20 19
20	20	DKPU006	20 20
19	21	JKPB527	19 21
19	22	JKPB527	19 22
20	21	JKPB527	20 21
20	22	JKPB527	20 22
19	23	DKPU016	19 23
19	24	DKPU016	19 24
