Gene,Annotation
dnaN,DNA polymerase III subunit beta
rlmL,bifunctional 23S rRNA (guanine(2069)-N(7))-methyltransferase RlmK/23S rRNA (guanine(2445)-N(2))-methyltransferase RlmL
group_8128,ABC transporter ATP-binding protein
pqiA~~~yebS,membrane integrity-associated transporter subunit PqiA;Paraquat-inducible protein A;Inner membrane protein yebS
group_8120,two-component system sensor histidine kinase BaeS;Sensory histidine kinase BaeS;hypothetical protein;Signal transduction histidine-protein kinase BaeS;histidine kinase
yegQ,tRNA 5-hydroxyuridine modification protein YegQ
baeR,two-component system response regulator BaeR;Two-component response regulator;Response regulator BaeR
aceA,isocitrate lyase;Isocitrate lyase
aceK,bifunctional isocitrate dehydrogenase kinase/phosphatase
hslO,Hsp33 family molecular chaperone HslO
puuC,aldehyde dehydrogenase PuuC
puuR,HTH-type transcriptional regulator PuuR
puuD,gamma-glutamyl-gamma-aminobutyrate hydrolase
group_8062,Periplasmic regulator RcnB of Ni and Co efflux;Nickel/cobalt homeostasis protein RcnB
apbC,iron-sulfur cluster carrier protein ApbC
group_8058,Bcr/CflA family multidrug efflux MFS transporter
rsuA,16S rRNA pseudouridine(516) synthase RsuA
radD~~~sSL2,Putative DNA repair helicase RadD;Superfamily II DNA or RNA helicase;hypothetical protein
otsB,trehalose-phosphatase
araG,L-arabinose ABC transporter ATP-binding protein AraG;L-arabinose transporter ATP-binding protein;ABC superfamily transporter;Arabinose import ATP-binding protein AraG
ydcJ,Uncharacterized metalloenzyme YdcJ glyoxalase superfamily
hIS2~~~ycdX,putative phosphatase KPN78578_10290;Histidinol phosphatase or related hydrolase of the PHP family;Hydrolase YcdX
ghrA~~~ycdW,glyoxylate/hydroxypyruvate reductase GhrA;2-hydroxyacid dehydrogenase YcdW;D-isomer specific 2-hydroxyacid dehydrogenase NAD-binding domain-containing protein
group_8036,phosphonate ABC transporter substrate-binding protein;PhnD/SsuA/transferrin family substrate-binding protein;Phosphonate ABC transporter substrate-binding protein
group_8033,phosphonate ABC transporter permease protein PhnE;Putative inner membrane permease of ABC transporter
phnE,phosphonate ABC transporter permease protein PhnE;ABC transmembrane type-1 domain-containing protein
ydfZ,Selenium-binding protein YdfZ;Selenium delivery protein YdfZ;Selenoprotein ydfZ
ssb1~~~ssb,single-stranded DNA-binding protein SSB1;Single-stranded DNA-binding protein
group_7977,prepilin-type N-terminal cleavage/methylation domain-containing protein
ptsP,phosphoenolpyruvate--protein phosphotransferase;hypothetical protein
lgt,prolipoprotein diacylglyceryl transferase
pyrD,quinone-dependent dihydroorotate dehydrogenase
group_7957,ABC-type oligopeptide transport system periplasmic component;Oligopeptide ABC transporter substrate-binding protein OppA;hypothetical protein
mdtD~~~yieO,Putative multidrug resistance protein MdtD;Inner membrane transport protein YieO;Transporter;Multidrug transporter MdtD
group_7943,glyoxylate bypass operon transcriptional repressor IclR
pcaH,protocatechuate 34-dioxygenase subunit beta;Protocatechuate 34-dioxygenase subunit beta
udk,uridine kinase
rhaM,L-rhamnose mutarotase
igaA~~~yrfG,IgaA;IgaA: a membrane protein that prevents overactivation of the Rcs regulatory system;GMP/IMP nucleotidase;Dehydrogenase;hypothetical protein
ubiU~~~rlhA,Ubiquinone biosynthesis protein UbiU;23S rRNA C2501 and tRNA U34 5'-hydroxylation protein RlhA/YrrN/YrrO U32 peptidase family
mrdB,peptidoglycan glycosyltransferase MrdB
pnp,polyribonucleotide nucleotidyltransferase
yccA,FtsH protease modulator YccA
group_7843,Serine transporter YbeC amino acid:H+ symporter family;Putative amino acid-amine transport protein;Putrescine importer
group_7842,Inner membrane protein;hypothetical protein
tusE,sulfurtransferase TusE
murQ,N-acetylmuramic acid 6-phosphate (MurNAc-6-P) etherase;SIS domain-containing protein;hypothetical protein
metH,methionine synthase;hypothetical protein
treA,Neutral trehalase;Periplasmic trehalase;Trehalase
metG,methionine--tRNA ligase
group_7833,Endo-type membrane-bound lytic murein transglycosylase A
ldcA,muramoyltetrapeptide carboxypeptidase
rplY,50S ribosomal protein L25
dadX~~~alr,catabolic alanine racemase DadX;alanine racemase
yjiL,Activator of 2-hydroxyglutaryl-CoA dehydratase (HSP70-class ATPase domain);ATPase BadF/BadG/BcrA/BcrD type domain-containing protein;(R)-2-hydroxyglutaryl-CoA dehydratase activator
araF~~~rbsB,L-arabinose-binding periplasmic protein;ABC-type sugar transport system periplasmic component contains N-terminal xre family HTH domain
torD~~~ycdY,Cytoplasmic chaperone TorD involved in molybdoenzyme TorA maturation;Chaperone protein YcdY;molecular chaperone
pcaG,protocatechuate 34-dioxygenase subunit alpha
ycdZ,Inner membrane protein YcdZ;DUF1097 domain-containing protein;Inner membrane protein ycdZ
tesB,acyl-CoA thioesterase II
group_7764,fatty acid metabolism transcriptional regulator FadR
ycgB~~~spoVR,SpoVR family protein;Protein YcgB
group_7755,HAD-IB family hydrolase;Phosphoserine phosphatase
group_7736,Large ribosomal subunit protein bL35
rplE,50S ribosomal protein L5
ispG,flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase
thyA,thymidylate synthase
rstA,two-component system response regulator RstA;DNA-binding transcriptional regulator RstA;Transcriptional regulatory protein RstA
dsbB,disulfide bond formation protein DsbB
nptA,Na+/phosphate symporter;hypothetical protein;Sodium-dependent phosphate transporter;Na/Pi-cotransporter
nudE,ADP compounds hydrolase NudE;Bis(5'-adenosyl)-triphosphatase
uvrA,excinuclease ABC subunit UvrA;Excision nuclease subunit A
group_7589,Tellurite resistance protein TehB SAM-dependent methylase cupin superfamily;Tellurite resistance protein B;Cytoplasmic protein
group_7585,NADPH-dependent FMN reductase;FMN reductase
tgt,tRNA guanosine(34) transglycosylase Tgt
mrcA,peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcA;Penicillin-binding protein 1A
yccX,acylphosphatase;Acylphosphatase
group_7470,Glucose dehydrogenase PQQ-dependent;Glucose dehydrogenase
alkA,3-methyladenine DNA glycosylase;DNA-3-methyladenine glycosylase 2;DNA-3-methyladenine glycosylase II
yegD,molecular chaperone
radA,DNA repair protein RadA;magnesium chelatase domain-containing protein
gabD,NADP-dependent succinate-semialdehyde dehydrogenase
pilM,Pilus assembly protein;Type IV pilus assembly protein ATPase PilM;Putative pilus assembly protein
group_7369,cytochrome b561
nusG,transcription termination/antitermination protein NusG
aaeX,p-hydroxybenzoic acid efflux pump operon protein AaeX
ispF,2C-methyl-D-erythritol 24-cyclodiphosphate synthase;2-C-methyl-D-erythritol 24-cyclodiphosphate synthase
ytjA,UPF0391 membrane protein YPTS_0599;UPF0391 membrane protein KPN_04833;UPF0391 membrane protein ECA0470
group_7029,cell division protein FtsZ
rplM,50S ribosomal protein L13
yciC,YciC family protein
yciB,septation protein A
yciA,acyl-CoA thioester hydrolase YciA
yniB,Transmembrane protein;YniB family protein
ybcI,metal-dependent hydrolase
group_6991,L-cystine transporter TcyP sodium:dicarboxylate symporter family;L-cystine transporter TcyP;L-cystine uptake protein TcyP;Sodium:dicarboxylate symporter
group_6990,Glutathione S-transferase family protein;Glutathione S-transferase;glutathione S-transferase C-terminal domain-containing protein;GST N-terminal domain-containing protein
katE,catalase HPII;catalase;Catalase
group_6988,PQQ-dependent aldose sugar dehydrogenase (Asd);Glucose/arabinose dehydrogenase beta-propeller fold
bssR,biofilm formation regulator BssR;Biofilm formation regulatory protein BssR
bglB~~~casB~~~bglH,Beta-glucosidase/6-phospho-beta-glucosidase/beta-galactosidase;Phospho-cellobiase;Aryl-phospho-beta-D-glucosidase BglH
rimO,30S ribosomal protein S12 methylthiotransferase RimO
gsiD,glutathione ABC transporter permease GsiD
mdtQ~~~nodT,multidrug resistance outer membrane protein MdtQ;NodT family RND efflux system outer membrane lipoprotein;hypothetical protein
gsiC,glutathione ABC transporter permease GsiC
gsiB,glutathione ABC transporter substrate-binding protein GsiB;Glutathione-binding protein gsiB
dedA~~~yohD,Membrane integrity protein DedA putative transporter DedA/Tvp38 family;Inner membrane protein YohD;DedA family inner membrane protein YohD
group_6984,Yip1 domain-containing protein
gsiA~~~dppD,glutathione ABC transporter ATP-binding protein GsiA;Dipeptide transport ATP-binding protein DppD
iaaA,beta-aspartyl-peptidase;Isoaspartyl peptidase or L-asparaginase Ntn-hydrolase superfamily;Putative L-asparaginase;L-asparaginase
mdtK,MdtK family multidrug efflux MATE transporter
pbpG,D-alanyl-D-alanine endopeptidase;Penicillin-binding protein 7
mnaT~~~dld,L-amino acid N-acyltransferase MnaT;N-acetyltransferase GCN5;D-lactate dehydrogenase
moeB,molybdopterin-synthase adenylyltransferase MoeB;Molybdopterin biosynthesis protein MoeB
moeA,molybdopterin molybdotransferase MoeA;Molybdopterin molybdenumtransferase
rlmI,23S rRNA (cytosine(1962)-C(5))-methyltransferase RlmI;Putative SAM-dependent methyltransferase;class I SAM-dependent methyltransferase;Putative oxidoreductase;23S rRNA m(5)C1962 methyltransferase
spy,ATP-independent periplasmic protein-refolding chaperone Spy
cho,excinuclease Cho;Excinuclease cho (Excinuclease ABC alternative C subunit)
metK,methionine adenosyltransferase
ribE,riboflavin synthase subunit alpha
group_6974,cyclopropane fatty acyl phospholipid synthase;Cyclopropane-fatty-acyl-phospholipid synthase;hypothetical protein
copA,copper-exporting P-type ATPase CopA;hypothetical protein
cueR,Cu(I)-responsive transcriptional regulator
group_6971,D-lactate dehydrogenase
group_6970,beta-glucosidase BglX;Glycoside hydrolase family 3 N-terminal domain-containing protein
group_6969,Pyruvate-formate lyase-activating enzyme;[formate-C-acetyltransferase]-activating enzyme;Pyruvate formate-lyase activating enzyme
pflD,Pyruvate-formate lyase
group_6968,Sir2 family NAD+-dependent deacetylase
nhaA,Na+/H+ antiporter NhaA
hspQ,heat shock protein HspQ
group_6966,succinylglutamate desuccinylase
group_6964,DNA-binding transcriptional regulator MocR family contains an aminotransferase domain;Transcriptional regulator
punC,purine nucleoside transporter PunC
punR,DNA-binding transcriptional activator PunR
nagK,N-acetylglucosamine kinase;ROK family protein
osmF,Periplasmic glycine betaine/choline-binding (lipo)protein of an ABC-type transport system (osmoprotectant binding protein);Osmoprotectant ABC transporter binding proteinYehZ;hypothetical protein;glycine betaine ABC transporter substrate-binding protein
opuBB~~~yehY~~~yehX,ABC-type proline/glycine betaine transport system permease component;Osmoprotectant ABC transporter permease protein YehY;Osmoprotectant ABC transporter ATP-binding subunit YehX
group_6958,Hydrolase;Hydroxymethylpyrimidine pyrophosphatase and other HAD family phosphatases
group_6957,DUF1479 domain-containing protein;hypothetical protein
lolE,lipoprotein-releasing ABC transporter permease subunit LolE
agp,bifunctional glucose-1-phosphatase/inositol phosphatase;Glucose-1-phosphatase
group_6955,phosphate starvation-inducible protein PhoH
sapC,putrescine export ABC transporter permease SapC
sapD,putrescine export ABC transporter ATP-binding protein SapD
group_6950,Uncharacterized conserved protein YbaP TraB family
ybaK,Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
group_6949,succinylglutamate-semialdehyde dehydrogenase
gss,bifunctional glutathionylspermidine amidase/synthase;Bifunctional glutathionylspermidine synthetase/amidase [includes glutathionylspermidine synthaseglutathionylspermidine amidase]
group_6945,Protein thiol-disulfide isomerase DsbC
group_6943,HTH-type transcriptional repressor PurR
ybbK~~~ybbJ~~~nfeD~~~qmcA,Activity regulator of membrane protease YbbK;Membrane protein implicated in regulation of membrane protease activity;NfeD family protein;Protein QmcA
group_6939,lipoprotein-releasing ABC transporter ATP-binding protein LolD
opuBA,ABC-type proline/glycine betaine transport system ATPase component
opuBB,ABC-type proline/glycine betaine transport system permease component;ABC transporter permease
group_6938,Cytochrome-c peroxidase;DNA-binding transcriptional regulator LacI/PurR family;Putative transcriptional regulator;Putative periplasmic binding protein/LacI transcriptional regulator;hypothetical protein
wrbA,NAD(P)H:quinone oxidoreductase;Flavoprotein WrbA;NAD(P)H:quinone oxidoreductase type IV
yccJ,YccJ-like protein;YccJ protein
efeO,iron uptake system protein EfeO
group_6935,iron uptake transporter deferrochelatase/peroxidase subunit;Putative peroxidase
sapF,putrescine export ABC transporter ATP-binding protein SapF;peptide ABC transporter ATP-binding protein SapF
group_6929,Nitrate/nitrite transporter NarK;Fosmidomycin resistance protein;hypothetical protein
ushA,bifunctional UDP-sugar hydrolase/5'-nucleotidase UshA
group_6923,arginine N-succinyltransferase
alaC,alanine transaminase
group_6920,Sensor histidine kinase LytS/YehU family
yghU,glutathione-dependent disulfide-bond oxidoreductase
group_6918,putative arabinose efflux permease AraJ MFS family;Major facilitator superfamily (MFS) profile domain-containing protein;MFS transporter
group_6917,histidine kinase;Sensor histidine kinase DipB regulating citrate/malate metabolism
dcuR,two-component system response regulator DcuR
group_6913,Regulator of protease activity HflC stomatin/prohibitin superfamily;hypothetical protein
fetA~~~ybbL,iron ABC transporter ATP-binding protein FetA;YbbL ABC transporter ATP-binding protein;Uncharacterized ABC transporter ATP-binding protein YbbL;ABC-type uncharacterized transport system ATPase component;ATP-binding cassette domain-containing protein
yohO,protein YohO
group_6911,Sugar phosphate permease;Hexuronate transporter;MFS transporter
group_6910,Alpha-glucosidase/xylosidase GH31 family;Alpha-glucosidase 2;Alpha-glucosidase
group_6909,lipoprotein-releasing ABC transporter permease subunit LolC
mfd,transcription-repair coupling factor
efeU,iron uptake transporter permease EfeU;Ferrous iron permease;Ferrous iron transport permease EfeU;FTR1 family protein
fabI,enoyl-ACP reductase FabI
bssS,biofilm formation regulator BssS
solA,N-methyl-L-tryptophan oxidase
ybaL,YbaL family putative K(+) efflux transporter
group_6899,Sugar or nucleoside kinase ribokinase family;hypothetical protein;Inosine-guanosine kinase
ynjC,ABC-type uncharacterized transport system YnjBCD permease component;ABC transporter permease protein YnjC;ABC transmembrane type-1 domain-containing protein;ABC transporter permease;thiamine ABC transporter permease;Inner membrane ABC transporter permease protein YnjC;ABC transporter permease subunit
xthA,exodeoxyribonuclease III
yqhA,UPF0114 protein KPK_0696
lytT,DNA-binding response regulator LytR/AlgR family
vsr,G:T-mismatch repair DNA endonuclease Vsr very short patch repair protein;Very-short-patch mismatch repair endonuclease (G-T specific);DNA mismatch endonuclease Vsr
glk,glucokinase
sodB,superoxide dismutase [Fe]
apbE~~~apbE2,FAD:protein FMN transferase;FAD:protein FMN transferase ApbE
group_6890,flavocytochrome c;Putative NADH:flavin oxidoreductase
sseA~~~ynjE,3-mercaptopyruvate sulfurtransferase SseA contains two rhodanese domains;Sulfurtransferase;Thiosulfate sulfurtransferase YnjE;rhodanese-like domain-containing protein;Putative thiosulfate sulfurtransferase
fetB~~~ybbM,iron export ABC transporter permease subunit FetB;YbbM seven transmembrane helix protein
group_6889,Chaperedoxin CnoX contains thioredoxin-like and TPR-like domains YbbN/TrxSC family
group_6884,DNA damage-inducible protein I;DinI-like family protein;hypothetical protein
group_6883,dihydroorotase
lytS,Sensor histidine kinase LytS/YehU family;sensor histidine kinase
btsR,two-component system response regulator BtsR
group_6878,ABC-F family ATPase;Heme ABC transporter ATP-binding protein;Uncharacterized ABC transporter ATP-binding protein YheS;Uncharacterized ABC transporter ATP-binding protein HI_0658
